Login,Open Time,Type,Symbol,Volume
750279,2023.08.01 16:00:27,buy,xauusd,0.104216454
679833,2023.08.01 16:00:47,buy,xauusd,0.076792891
888368,2023.08.01 16:01:06,buy,xauusd,0.11166028
671694,2023.08.01 16:01:06,buy,xauusd,1.716994035
384575,2023.08.02 00:22:49,sell,xauusd,0.101503958
417598,2023.08.02 01:02:04,buy,xauusd,0.11437279
291276,2023.08.02 02:48:11,buy,xauusd,0.111671743
992559,2023.08.02 03:45:33,buy,xauusd,0.123840096
334482,2023.08.02 16:09:39,buy,xauusd,0.293116143
129379,2023.08.02 12:51:29,buy,xauusd,0.121173143
228079,2023.08.02 13:06:21,buy,xauusd,0.30697486
129379,2023.08.02 13:12:23,buy,xauusd,0.121173143
417598,2023.08.02 14:14:53,buy,xauusd,0.11437279
730570,2023.08.02 14:02:12,buy,xauusd,0.097287257
567040,2023.08.02 14:02:33,buy,xauusd,0.159113189
840095,2023.08.02 14:18:31,buy,xauusd,0.106377804
501236,2023.08.02 14:32:15,buy,xauusd,0.383272771
730901,2023.08.02 14:41:04,buy,xauusd,0.096646835
934419,2023.08.02 14:44:14,buy,xauusd,0.113250748
719442,2023.08.02 14:51:46,sell,xauusd,0.104031954
991501,2023.08.02 15:00:36,buy,xauusd,1.195161638
710505,2023.08.02 15:14:26,buy,xauusd,0.080407158
129379,2023.08.02 15:53:33,buy,xauusd,0.121173143
432007,2023.08.02 16:03:15,buy,xauusd,0.076358484
891671,2023.08.02 16:06:21,buy,xauusd,0.156667279
593593,2023.08.02 16:12:05,buy,xauusd,0.119850238
917311,2023.08.02 16:17:09,buy,xauusd,0.106605119
325585,2023.08.02 16:25:01,buy,xauusd,0.933489241
303523,2023.08.02 16:26:47,buy,xauusd,1.040704396
439755,2023.08.02 17:28:01,buy,xauusd,0.19412539
210348,2023.08.02 18:24:01,buy,xauusd,17.97262208
881672,2023.08.02 22:53:15,sell,xauusd,0.117334947
809100,2023.08.03 06:42:32,sell,xauusd,0.095689474
809100,2023.08.03 06:47:46,sell,xauusd,0.095689474
914555,2023.08.03 09:53:41,sell,xauusd,0.101201081
914555,2023.08.03 10:07:17,sell,xauusd,0.101201081
914555,2023.08.03 10:08:40,sell,xauusd,0.101201081
914555,2023.08.03 10:09:25,sell,xauusd,0.101201081
914555,2023.08.03 10:19:00,sell,xauusd,0.101201081
464233,2023.08.03 14:08:38,buy,xauusd,0.12162924
222288,2023.08.03 14:34:40,sell,xauusd,0.078634883
914555,2023.08.03 14:43:57,sell,xauusd,0.101201081
914555,2023.08.03 14:44:01,sell,xauusd,0.101201081
914555,2023.08.03 14:44:08,sell,xauusd,0.101201081
914555,2023.08.03 14:56:56,sell,xauusd,0.101201081
914555,2023.08.03 14:57:07,sell,xauusd,0.101201081
914555,2023.08.03 15:21:28,sell,xauusd,0.101201081
914555,2023.08.03 15:21:36,sell,xauusd,0.101201081
914555,2023.08.03 15:25:09,sell,xauusd,0.101201081
914555,2023.08.03 15:25:13,sell,xauusd,0.101201081
914555,2023.08.03 15:25:20,sell,xauusd,0.101201081
228079,2023.08.04 14:41:03,sell,xauusd,0.076743715
228079,2023.08.04 14:30:00,sell,xauusd,0.076743715
914555,2023.08.04 07:22:59,sell,xauusd,0.101201081
914555,2023.08.04 07:38:46,sell,xauusd,0.101201081
919310,2023.08.04 10:53:44,buy,xauusd,0.218301001
